Id,Level,FechaRegistro,Message
264,error,2026-04-28T22:24:09.516157,"🐕 watchdog: heartbeat AVL viejo (44m). Servicio reportado vivo pero AVL no late."
265,info,2026-04-28T22:29:40.647021,"❤️ AVL alive tick #60 (cada 300s)"
266,info,2026-04-28T22:39:09.653637,"🐕 watchdog: tick 2026-04-28T22:39:09.646644 (task=syscaf_background_watchdog)"
267,info,2026-04-28T22:39:09.668794,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42590 min)."
268,advertencia,2026-04-28T22:39:09.668844,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
269,info,2026-04-28T22:39:09.687574,"🐕 watchdog: isRunning=true"
270,info,2026-04-28T22:54:09.813892,"🐕 watchdog: tick 2026-04-28T22:54:09.807928 (task=syscaf_background_watchdog)"
271,info,2026-04-28T22:54:09.817084,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42575 min)."
272,advertencia,2026-04-28T22:54:09.817152,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
273,info,2026-04-28T22:54:09.818028,"🐕 watchdog: isRunning=true"
274,error,2026-04-28T22:54:09.823360,"🐕 watchdog: heartbeat AVL viejo (24m). Servicio reportado vivo pero AVL no late."
275,info,2026-04-28T23:09:09.911312,"🐕 watchdog: tick 2026-04-28T23:09:09.906795 (task=syscaf_background_watchdog)"
276,info,2026-04-28T23:09:09.917011,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42560 min)."
277,advertencia,2026-04-28T23:09:09.917055,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
278,info,2026-04-28T23:09:09.918168,"🐕 watchdog: isRunning=true"
279,error,2026-04-28T23:09:09.929035,"🐕 watchdog: heartbeat AVL viejo (39m). Servicio reportado vivo pero AVL no late."
280,info,2026-04-28T23:19:40.648221,"❤️ AVL alive tick #70 (cada 300s)"
