Id,Level,FechaRegistro,Message
94,advertencia,2026-04-30T15:56:40.415114,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
95,exito,2026-04-30T15:56:42.495131,"Interfaz lista. Procesando logica de fondo..."
96,exito,2026-04-30T15:56:42.523044,"Usando velocidad maxima: 40.0 km/h"
97,advertencia,2026-04-30T15:56:42.566820,"No hay viaje para sincronizar."
98,advertencia,2026-04-30T15:56:42.576312,"No hay errores para sincronizar."
99,exito,2026-04-30T15:56:42.576506,"Ventana iniciada."
100,exito,2026-04-30T15:56:42.576540,"Configuracion obtenida."
101,error,2026-04-30T15:57:06.742148,"UI EN BACKGROUND"
102,exito,2026-04-30T15:57:19.654935,"UI ABIERTA"
103,error,2026-04-30T15:57:52.502759,"UI EN BACKGROUND"
104,exito,2026-04-30T15:58:19.225154,"Variables de entorno cargadas correctamente"
105,exito,2026-04-30T15:58:19.239482,"Watchdog Workmanager registrado (cada 15 min)"
106,info,2026-04-30T15:58:19.409257,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42891 min)."
107,advertencia,2026-04-30T15:58:19.409745,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
108,exito,2026-04-30T15:58:21.115908,"Interfaz lista. Procesando logica de fondo..."
109,exito,2026-04-30T15:58:21.142126,"Usando velocidad maxima: 40.0 km/h"
110,advertencia,2026-04-30T15:58:21.156147,"No hay viaje para sincronizar."
111,advertencia,2026-04-30T15:58:21.176721,"No hay errores para sincronizar."
112,exito,2026-04-30T15:58:21.176810,"Ventana iniciada."
113,exito,2026-04-30T15:58:21.176839,"Configuracion obtenida."
114,error,2026-04-30T15:58:38.527976,"UI EN BACKGROUND"
115,advertencia,2026-04-30T15:58:43.183973,"ActivityRecognition no confirmo, arrancando GPS por fallback"
116,advertencia,2026-04-30T15:58:53.973210,"ActivityRecognition no confirmo, arrancando GPS por fallback"
117,advertencia,2026-04-30T15:59:28.724780,"ActivityRecognition no confirmo, arrancando GPS por fallback"
118,advertencia,2026-04-30T15:59:53.632519,"ActivityRecognition no confirmo, arrancando GPS por fallback"
119,exito,2026-04-30T15:59:53.762077,"UI ABIERTA"
120,error,2026-04-30T16:00:01.176283,"UI EN BACKGROUND"
121,exito,2026-04-30T16:00:09.472506,"Variables de entorno cargadas correctamente"
122,exito,2026-04-30T16:00:09.489794,"Watchdog Workmanager registrado (cada 15 min)"
123,info,2026-04-30T16:00:09.831874,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42889 min)."
124,advertencia,2026-04-30T16:00:09.832400,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
125,info,2026-04-30T16:00:21.097865,"🐕 watchdog: tick 2026-04-30T16:00:21.086035 (task=syscaf_background_watchdog)"
126,info,2026-04-30T16:00:21.105793,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42889 min)."
127,advertencia,2026-04-30T16:00:21.105861,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
128,info,2026-04-30T16:00:21.107421,"🐕 watchdog: isRunning=true"
129,advertencia,2026-04-30T16:00:21.118106,"🐕 watchdog: servicio activo pero sin heartbeat AVL registrado"
